title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
CHÍNH CHỦ bán căn 1N(+1), 47m2 FULL NỘI THẤT chỉ 2.29 tỷ tại VHOCP	115583185			2,29 tỷ		1 phòng			Sổ hồng riêng	21.0209	105.9381	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Siêu Phẩm 1n+1 đẹp  phân khu sapphire giá chỉ 2.3 tỷ tại Vin OCP	115512682			2,3 tỷ		1 phòng			Sổ hồng riêng	21.0209	105.9381	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Tôi cần bán nhà Phố Nguyễn Công Hoan  X5 tầng nhà đẹp nhỉnh hơn 13 tỷ	115705508	58 m²		13,495 tỷ		3 phòng	3 phòng		Đã có sổ	21.0272	105.8151	Phố Nguyễn Công Hoan, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội	Ba Đình	Hà Nội
Chung cư A1 Chính Kinh - Nguyễn Trãi 👪35 – 55m2-tặng vàng 9999	115566758			1,35 tỷ		2 phòng			Sổ hồng riêng	20.9887	105.8187	chính kinh, Phường Khương Đình, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
BÁN GẤP_CHUNG CƯ A1 TRƯỜNG CHINH_NGUYỄN TRÃI_NGÃ TƯ SỞ_FULL ĐỒ	115733787			900 triệu		2 phòng			Sổ hồng riêng	20.9948	105.8082	Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
CHÍNH CHỦ bán căn 1N(+1), 47m2 FULL NỘI THẤT chỉ 2.29 tỷ tại VHOCP	115583185			2,29 tỷ		1 phòng			Sổ hồng riêng	21.0209	105.9381	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Tôi cần bán nhà Phố Nguyễn Công Hoan  X5 tầng nhà đẹp nhỉnh hơn 13 tỷ	115705508	58 m²		13,495 tỷ		3 phòng	3 phòng		Đã có sổ	21.0272	105.8151	Phố Nguyễn Công Hoan, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội	Ba Đình	Hà Nội
NHÀ MỚI ĐẸP Ở LUÔN ĐẠI TỪ - LINH ĐÀM. DT 45M x 5T. GIÁ TRÀO 5,8 TỶ.	115743658	43 m²		5,8 tỷ		4 phòng			Đã có sổ	20.9738	105.8216	Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
BÁN GẤP_CHUNG CƯ A1 TRƯỜNG CHINH_NGUYỄN TRÃI_NGÃ TƯ SỞ_FULL ĐỒ	115733787			900 triệu		2 phòng			Sổ hồng riêng	20.9948	105.8082	Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Bán nhà Phúc Đồng, cạnh sân Gofl Long Biên, khu cán bộ cao cấp	115882659	60 m²		10,5 tỷ		5 phòng			Đã có sổ	21.038	105.8943	Sân Golf Long Biên, Phường Phúc Đồng, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
NHÀ MỚI ĐẸP Ở LUÔN ĐẠI TỪ - LINH ĐÀM. DT 45M x 5T. GIÁ TRÀO 5,8 TỶ.	115743658	43 m²		5,8 tỷ		4 phòng			Đã có sổ	20.9738	105.8216	Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Cần bán gấp CHCC Imperia Sky Garden 423 Minh Khai, 2pn, 2wc	116040076			6,5 tỷ		2 phòng			Sổ hồng riêng	21.0017	105.874	Số 423, Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhanh mới Kịp ! Quan nhân - sát Hồ, oto , 40m*5T ở luôn	115837812	38 m²		7,2 tỷ		4 phòng			Đã có sổ	21.0053	105.8115	Phố Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
38m2 xây 4 tầng có 6 phòng 4.8 tỷ Tổ 9 Mậu Lương Kiến Hưng	116281543	41 m²		4,8 tỷ		3 phòng			Đã có sổ	20.9528	105.785	Xala, Phường Kiến Hưng, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán nhà Phúc Đồng, cạnh sân Gofl Long Biên, khu cán bộ cao cấp	115882659	60 m²		10,5 tỷ		5 phòng			Đã có sổ	21.038	105.8943	Sân Golf Long Biên, Phường Phúc Đồng, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
Bán nhà Vĩnh Hưng, phân tô ô tô tải tránh, DT siêu rộng 51m giá 6.8 tỷ	116386947	51 m²		6,8 tỷ		4 phòng			Đã có sổ	20.9878	105.8772	Phố Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Cần bán gấp CHCC Imperia Sky Garden 423 Minh Khai, 2pn, 2wc	116040076			6,5 tỷ		2 phòng			Sổ hồng riêng	21.0017	105.874	Số 423, Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Hàng Hiếm! Đặng Văn Ngữ- Hồ Đắc Di , 42m*5T ngõ rộng thoáng, ở kdoanh	116454334	42 m²		7,55 tỷ		3 phòng			Đã có sổ	21.0117	105.8302	Phố Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
38m2 xây 4 tầng có 6 phòng 4.8 tỷ Tổ 9 Mậu Lương Kiến Hưng	116281543	41 m²		4,8 tỷ		3 phòng			Đã có sổ	20.9528	105.785	Xala, Phường Kiến Hưng, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán nhà Ngọc Trì, Thạch Bàn, 72m2, giá 5,35 tỷ, tặng toàn bộ nội thất	116510873	72 m²		5,35 tỷ		4 phòng			Đã có sổ	21.029987	105.91344	Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
