title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Bán đất tại đường Phương Nhị	pr41478762	60.0	8.0	7.4	0110	0	0		2	20.9087138145547	105.858017554855	Đường Phương Nhị, Xã Liên Ninh, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Bán đất tại xã Vân Canh	pr42617637	59.0	5.0	10.0	0000	0	0		2	21.0303982248252	105.732204283487	Xã Vân Canh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Căn hộ chung cư tại A10-A14 Nam Trung Yên	pr42316753	95.0	0.0	7.5	0001	3	2		2	21.019292138136525	105.78781898027977	Dự án A10-A14 Nam Trung Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại đường Đàm Quang Trung	pr42632088	66.0	5.1	8.5	0011	0	0		2	21.0321265576182	105.900815086132	Đường Đàm Quang Trung, Phường Long Biên, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Hoàng Mai	pr42491728	53.5	6.3	14.89	0000	14	14	Đầy đủ	2	20.988523107768	105.856932835604	Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Đại Kim	pr42303671	68.0	6.0	20.5	0000	5	5	Đầy đủ.	2	20.9725133882724	105.819882478659	Khu đô thị Đại Kim, Nghiêm Xuân Yêm, Đại Kim, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại phố Trần Cung	pr42593970	85.0	5.0	17.0	0000	6	5		2	21.0521132948133	105.788977399241	Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Lê Quang Đạo	pr42596790	50.0	4.56	8.5	0000	10	10	Đầy đủ	2	21.017714186323	105.767415450933	Đường Lê Quang Đạo, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Âu Cơ	pr42030766	90.0	6.0	19.5	0000	20	20	Đầy đủ	2	21.0742444773799	105.824113653476	Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Căn hộ chung cư tại N04B Ngoại Giao Đoàn	pr42575367	99.6	0.0	9.0	0000	2	2	Đầy đủ	2	21.065461927910057	105.80150240096393	Dự án N04B Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
