title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province	property_type	property_type_id	district_id
BÁN NHÀ PHỐ TÂY SƠN DT: 43M; 4 TẦNG; MT: 7,5M LÔ GÓC 2 THOÁNG - Ở NGAY	125567122	43.0	14.5	4	3	2	21.010912	105.82522	Đống Đa	Hà Nội	Nhà riêng	3	7
SIÊU PHẨM TỨ LIÊN-TÂY HỒ, 40M, 6 TẦNG, THANG MÁY, CHỈ 8.6 TỶ CÓ RA LỘC	125583022	40.0	8.6	3	4	2	21.06426	105.834076	Tây Hồ	Hà Nội	Khác	0	22
Biệt thự liền kề KĐTGelemximco Lê Trọng Tấn 3mặt thoáng-full nội thất	125567506	85.0	24.7	4	4	2	20.99527	105.735275	Hà Đông	Hà Nội	Biệt thự	2	9
Bán Nhà Thái Hà-Đống Đa-oto qua nhà-kinh doanh-2 mặt ngõ-60m-17.8 tỷ	125568114	60.0	17.8	2	2	2	21.00932	105.82418	Đống Đa	Hà Nội	Nhà riêng	3	7
Cực hiếm, nhà đẹp Phạm Văn Đồng, sát phố, ngõ thông rộng 31m 5T	125568988	31.0	7.5	4	4	2	21.0483	105.78126	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Cần bán nhà diện tích 68m giá 2ty5	125568269	68.5	2.5	2	1	-1	21.066088	105.76397	Bắc Từ Liêm	Hà Nội	Nhà riêng	3	28
Bán nhà Tây Sơn, ngõ thông, 15m ra ô tô, nhà mới full nội thất,27m2*4T	125584077	27.0	6.75	3	3	2	21.0041	105.82135	Đống Đa	Hà Nội	Nhà riêng	3	7
CỰC HIẾM NHÀ 43M CHỈ 7.9 TỶ. HOÀNG HOA THÁM,BA ĐÌNH, NGÕ NÔNG RỘNG	125569274	43.0	7.9	3	4	2	21.044363	105.81292	Ba Đình	Hà Nội	Nhà riêng	3	1
Bán nhà đẹp ôtô kinh doanh phố Trung Kính 74m2 x 6 tầng chào 23 tỷ	125569429	74.0	23.0	4	4	2	21.020708	105.79167	Cầu Giấy	Hà Nội	Nhà riêng	3	3
BÁN NHÀ SIÊU ĐẸP PHỐ QUAN NHÂN 35 m x 5 TẦNG 4 NGỦ THÔNG - THANG MÁY	125570387	35.0	7.95	4	5	2	21.007523	105.81238	Thanh Xuân	Hà Nội	Nhà riêng	3	26
🌺 TRUNG TÂM QUẬN THANH XUÂN, NHÀ ĐẸP 5 TẦNG THANG MÁY Ở NGAY	125571227	35.0	7.5	4	5	2	21.008104	105.81288	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Bán nhà ngõ Văn Chương:Nhà mới, thang  máy, ngõ ô tô, 2Thoáng,42m2*6T.	125587818	42.0	7.93	4	5	2	21.021517	105.83358	Đống Đa	Hà Nội	Nhà riêng	3	7
Đội Cấn 49m, 1Tầng, MT 3,9m. Oto tránh, vỉa hè, KD tốt. 15,8 tỷ	125588418	49.0	15.8	1	1	2	21.03509	105.82292	Ba Đình	Hà Nội	Khác	0	1
Bán nhà Kim Mã 82m2 ngõ thông 14 phòng khép kín oto đỗ cửa 24.5 tỷ	125574225	82.0	24.5	6	6	2	21.031124	105.81916	Ba Đình	Hà Nội	Nhà riêng	3	1
Kim Mã, nhà mới ở luôn, ngõ 3 gác, 50m ra phố, 2 thoáng,41m2*5T	125588860	41.0	7.4	3	3	2	21.031124	105.81916	Ba Đình	Hà Nội	Nhà riêng	3	1
📢📢📢 NHÀ CÁT QUẾ LÔ GÓC 3 THOÁNG, ÔTÔ VÀO NHÀ Diện tích 45m, 3 tầng	125589311	45.0	3.7	4	4	2	21.051535	105.67674	Hoài Đức	Hà Nội	Nhà riêng	3	11
BÁN NHÀ MẶT PHỐ TRẦN ĐĂNG NINH-KINH DOANH,DT 40M-5 TẦNG,NHỈNH 13 TỶ	125589591	40.0	13.5	4	4	2	20.968102	105.772385	Hà Đông	Hà Nội	Nhà riêng	3	9
Bán nhà Pháo Đài Láng 40m2 nhà đẹp oto đỗ cửa ngõ ba gác 9.5 tỷ	125574619	40.0	9.5	4	4	2	21.019154	105.80507	Đống Đa	Hà Nội	Nhà riêng	3	7
Cực đẹp nhà Trần Khát Chân HBT gần phố lô góc full nội thất giá mềm	125574701	42.0	6.5	3	4	2	21.008707	105.86216	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
Bán nhà Thịnh Quang, ngõ thông thoáng, ba gác đỗ, nhà mới ở ngay, 37m2	125575397	37.0	8.7	3	4	2	21.004591	105.82036	Đống Đa	Hà Nội	Nhà riêng	3	7
CHÍNH CHỦ GỬI BÁN NHÀ PHÂN LÔ VĂN LA-VĂN PHÚ-NHÀ ĐẸP,Ở NGAY,DT 50M	125575063	50.0	13.8	4	4	2	20.956284	105.756966	Hà Đông	Hà Nội	Nhà riêng	3	9
Phố Vương Thừa Vũ, phân lô ô tô đỗ cửa, ngõ thông, 2 thoáng, 40m2*5T	125574746	40.0	7.2	5	4	2	20.992582	105.8393	Thanh Xuân	Hà Nội	Khác	0	26
Nhanh tay! Trần Cung, ngõ 3 gác tránh, gần phố,  ở luôn, 39.6m2*5T	125589760	39.6	7.2	3	3	2	21.046085	105.792656	Cầu Giấy	Hà Nội	Khác	0	3
Víp phố Đoàn Thị Điểm, nhà lô góc, ngõ nông, ô tô đỗ cổng, dt 50m2* 4T	125575478	50.0	8.8	4	4	2	21.026525	105.831894	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà Phố Lê Trọng Tấn, phân lô ô tô đỗ, full nội thất, 40m2*5T	125575618	40.0	9.2	5	4	2	20.986992	105.83584	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Bán nhà Cổ Nhuế, nhà mới, 6 tầng tháng máy hiện đại, full nội thất 36m	125575971	36.0	8.7	4	5	2	21.060614	105.78177	Bắc Từ Liêm	Hà Nội	Nhà riêng	3	28
SIÊU HIẾM ! KHƯƠNG ĐÌNH 32m x 5TẦNG LÔ GÓC, NHÀ MỚI FULL NT Ở NGAY	125575597	32.0	6.68	3	4	2	20.992771	105.81429	Thanh Xuân	Hà Nội	Nhà riêng	3	26
☘️Bán nhà 5 tầng Biên Giang - Hà Đông gần bến xe Yên Nghĩa	125576430	32.0	3.45	3	4	2	20.929531	105.710915	Hà Đông	Hà Nội	Nhà riêng	3	9
